SignId,Id,X,Y,Z,Retro,Normalized_retro,angle,distance,UTC
1,37456,33.7872584,-84.4055621,244.938,43690.00,0.00000,0.000,0.000,66090.350
1,37457,33.7872583,-84.4055620,244.848,47545.00,0.00000,0.000,0.000,66090.350
1,37458,33.7872582,-84.4055617,244.759,48830.00,0.00000,0.000,0.000,66090.350
1,37459,33.7872581,-84.4055615,244.672,49344.00,0.00000,0.000,0.000,66090.350
1,37520,33.7872580,-84.4055621,245.047,49087.00,0.00000,0.000,0.000,66090.363
1,37521,33.7872580,-84.4055620,244.957,49344.00,0.00000,0.000,0.000,66090.363
1,37522,33.7872579,-84.4055618,244.868,49087.00,0.00000,0.000,0.000,66090.363
1,37523,33.7872578,-84.4055617,244.780,49858.00,0.00000,0.000,0.000,66090.363
1,37524,33.7872578,-84.4055615,244.691,49344.00,0.00000,0.000,0.000,66090.363
1,37525,33.7872577,-84.4055613,244.604,49087.00,0.00000,0.000,0.000,66090.363
1,37588,33.7872577,-84.4055621,245.063,49087.00,0.00000,0.000,0.000,66090.376
1,37589,33.7872576,-84.4055619,244.976,49087.00,0.00000,0.000,0.000,66090.376
1,37590,33.7872575,-84.4055618,244.888,49087.00,0.00000,0.000,0.000,66090.376
1,37591,33.7872574,-84.4055615,244.802,49344.00,0.00000,0.000,0.000,66090.376
1,37592,33.7872574,-84.4055615,244.712,49344.00,0.00000,0.000,0.000,66090.376
1,37593,33.7872573,-84.4055613,244.626,49344.00,0.00000,0.000,0.000,66090.376
1,37594,33.7872572,-84.4055612,244.538,46260.00,0.00000,0.000,0.000,66090.376
1,37656,33.7872573,-84.4055622,245.078,50115.00,0.00000,0.000,0.000,66090.390
1,37657,33.7872572,-84.4055620,244.992,49601.00,0.00000,0.000,0.000,66090.390
1,37658,33.7872572,-84.4055619,244.904,48830.00,0.00000,0.000,0.000,66090.390
1,37659,33.7872571,-84.4055617,244.819,49344.00,0.00000,0.000,0.000,66090.390
1,37660,33.7872570,-84.4055614,244.735,49344.00,0.00000,0.000,0.000,66090.390
1,37661,33.7872569,-84.4055612,244.651,49087.00,0.00000,0.000,0.000,66090.390
1,37662,33.7872568,-84.4055610,244.565,49344.00,0.00000,0.000,0.000,66090.390
1,37725,33.7872570,-84.4055622,245.179,46003.00,0.00000,0.000,0.000,66090.403
1,37726,33.7872569,-84.4055621,245.094,49087.00,0.00000,0.000,0.000,66090.403
1,37727,33.7872568,-84.4055619,245.009,49344.00,0.00000,0.000,0.000,66090.403
1,37728,33.7872568,-84.4055618,244.924,49344.00,0.00000,0.000,0.000,66090.403
1,37729,33.7872567,-84.4055617,244.837,49344.00,0.00000,0.000,0.000,66090.403
1,37730,33.7872566,-84.4055614,244.756,49087.00,0.00000,0.000,0.000,66090.403
1,37731,33.7872565,-84.4055613,244.670,48830.00,0.00000,0.000,0.000,66090.403
1,37732,33.7872565,-84.4055612,244.584,49087.00,0.00000,0.000,0.000,66090.403
1,37791,33.7872566,-84.4055622,245.194,49087.00,0.00000,0.000,0.000,66090.416
1,37792,33.7872565,-84.4055620,245.112,49601.00,0.00000,0.000,0.000,66090.416
1,37793,33.7872565,-84.4055619,245.027,49344.00,0.00000,0.000,0.000,66090.416
1,37794,33.7872565,-84.4055619,244.940,49344.00,0.00000,0.000,0.000,66090.416
1,37795,33.7872563,-84.4055616,244.860,49087.00,0.00000,0.000,0.000,66090.416
1,37796,33.7872563,-84.4055615,244.775,48830.00,0.00000,0.000,0.000,66090.416
1,37797,33.7872562,-84.4055612,244.693,49344.00,0.00000,0.000,0.000,66090.416
1,37798,33.7872561,-84.4055612,244.607,49344.00,0.00000,0.000,0.000,66090.416
1,37799,33.7872560,-84.4055610,244.525,49344.00,0.00000,0.000,0.000,66090.416
1,37856,33.7872562,-84.4055621,245.212,49344.00,0.00000,0.000,0.000,66090.429
1,37857,33.7872562,-84.4055622,245.127,49601.00,0.00000,0.000,0.000,66090.429
1,37858,33.7872561,-84.4055618,245.047,49087.00,0.00000,0.000,0.000,66090.430
1,37859,33.7872560,-84.4055617,244.964,49344.00,0.00000,0.000,0.000,66090.430
1,37860,33.7872560,-84.4055616,244.880,49087.00,0.00000,0.000,0.000,66090.430
1,37861,33.7872559,-84.4055613,244.801,49344.00,0.00000,0.000,0.000,66090.430
1,37862,33.7872558,-84.4055613,244.716,48830.00,0.00000,0.000,0.000,66090.430
1,37863,33.7872557,-84.4055611,244.634,49087.00,0.00000,0.000,0.000,66090.430
1,37922,33.7872559,-84.4055622,245.226,49344.00,0.00000,0.000,0.000,66090.443
1,37923,33.7872558,-84.4055619,245.146,48830.00,0.00000,0.000,0.000,66090.443
